"","train_fit","Actual"
"437",78.4593132002377,80
"438",80.1482999869613,80
"439",81.6318358715391,80
"440",80.3846680709801,80
"441",79.2904372425582,80
"443",80.7098036562705,80
"447",79.2694310298627,80
"448",79.7994328215995,80
"449",81.6499201582682,80
"450",80.7082824112452,80
"451",79.2902430890486,80
"452",80.5547190964833,80
"453",79.2889846957925,80
"454",80.6407485890059,80
"458",78.7512701673266,80
"459",80.709090544411,80
"461",79.0458089274708,80
"462",79.4715963094752,80
"463",80.245674550031,80
"464",79.29050174941,80
"465",79.2906211626712,80
"466",79.6818298977358,80
"468",80.4703713026188,80
"470",80.2380310618936,80
"472",79.4016578916129,80
"474",80.3480812380588,80
"475",80.8637554368493,80
"476",80.3672492288092,80
"477",82.205252020833,80
"478",79.2177861801179,80
"480",82.3098210529453,80
"482",81.9868737624718,80
"485",80.1370007835438,80
"486",80.4833901395484,80
"487",79.0780425248453,80
"488",79.108400374562,80
"491",79.7774682414495,80
"492",80.1100836816228,80
"494",80.3489759615673,80
"496",80.4579465989986,80
"497",80.1262887297132,80
"500",79.7123650847528,80
"501",79.3309914586342,80
"502",79.29304916529,80
"503",80.3824556475167,80
"504",79.7107710209258,80
"505",79.9531337396371,80
"506",80.7078044120543,80
"507",79.7700552461948,80
"509",79.290412495747,80
"510",78.2064964895094,80
"511",79.2926667183858,80
"513",80.7092867916486,80
"515",80.7094679988697,80
"516",82.1693571092712,80
"518",80.3736483826283,80
"520",80.2240013165542,80
"521",81.2884468036619,82
"522",80.6679779022919,80
"523",79.2281520859821,80
"524",78.9436991054521,80
"525",79.8914121840767,80
"526",79.5875648529587,80
"528",79.2917236565144,80
"529",80.084401823024,79
"531",78.9126523253519,79
"532",78.7533957933743,79
"534",80.0586641780903,79
"535",78.7578741734269,79
"536",78.2900614312684,79
"538",78.2897951402257,79
"539",77.6281634943293,79
"541",79.4354688253993,79
"543",78.4335981426803,79
"546",78.7612417057722,79
"549",78.5345740606305,79
"550",78.2893714235005,79
"551",78.3037221130316,79
"552",78.9686110386233,79
"554",79.4956600215124,79
"555",79.3197456974549,79
"556",79.7066083172997,79
"557",79.7099676481493,79
"558",78.8705098108592,79
"559",79.0475890128215,79
"560",80.2316581673519,79
"563",78.2902384441613,79
"564",77.9656248957684,79
"565",78.5948029858457,79
"566",78.2966516999408,79
"568",79.5247291394318,79
"570",76.969320150146,79
"572",79.4100199858549,79
"573",78.2891488880439,79
"576",78.8028038101505,79
"577",78.2907120402276,79
"578",77.8053129102814,79
"579",78.6737508308976,79
"580",77.8899924812827,79
"584",79.8657545782875,79
"586",78.2901574475315,79
"587",78.3871353071227,79
"588",78.2913544064125,79
