"","train_fit",""
"1533",72.1731203298126,76
"1534",76.0388948561506,76
"1535",74.7159608004583,76
"1536",71.4509091713947,76
"1538",70.4950293345615,76
"1540",72.3721079324663,76
"1541",74.2463104924709,76
"1543",77.8010542625099,76
"1545",73.9018783659757,76
"1546",76.5543955895879,76
"1547",77.8219173630605,76
"1548",74.4762954091394,76
"1551",75.1677400116815,76
"1552",74.7775164799442,76
"1553",76.374116238532,76
"1554",74.9644949097036,76
"1556",72.9971458388179,76
"1557",75.1563675481629,76
"1560",74.0342891214822,76
"1561",75.2316270423585,76
"1565",74.116439716396,76
"1567",74.334050726359,76
"1568",75.6391422291512,76
"1569",75.6661554821643,76
"1570",77.2630724803529,76
"1576",72.3424755737745,75
"1581",74.2126124773603,76
"1585",74.0714701880967,76
"1587",76.0902508262286,75
"1589",74.4783356774307,76
"1591",71.7152481747733,76
"1592",74.3881848129781,76
"1594",70.8654639324958,76
"1595",72.9226581251176,76
"1596",77.1775476080993,76
"1597",70.3959604740405,76
"1598",79.4329626919854,76
"1602",73.3028609721527,75
"1603",67.7510257453594,75
"1606",74.0334726446312,75
"1607",72.5554922775738,75
"1608",77.4546269344323,75
"1609",70.8426421876544,75
"1610",76.3593879276587,75
"1612",71.0351402232137,75
"1614",75.9776284079403,75
"1616",70.4370085865566,75
"1617",76.4369232914282,75
"1618",76.5601114352051,75
"1619",80.4620740169938,75
"1620",71.0225685163817,75
"1621",71.8349524068995,75
"1622",72.2064277030818,75
"1623",78.7596686919364,75
"1624",77.6312889545334,75
"1626",75.630688043293,75
"1627",70.6382791258717,75
"1628",74.6915027086425,75
"1629",75.3310859334469,75
"1630",73.3425454999895,75
"1631",76.1648931237319,75
"1634",73.1713701002188,75
"1635",71.518948233843,75
"1636",78.0639454418756,75
"1637",72.1381638035007,75
"1638",75.7018140804567,75
"1639",76.4816876841939,75
"1645",72.8240761724547,75
"1646",74.4641202903571,75
"1647",67.8086579093262,75
"1650",73.0668294899165,75
"1651",78.1760787916902,75
"1654",72.7857974944551,75
"1655",73.122661779413,75
"1656",75.3575551661365,75
"1659",72.509209886805,75
"1661",72.5758644639751,75
"1662",73.8399252942259,75
"1664",74.0576570163873,75
"1669",75.9980464934571,73
"1670",72.6973924119705,75
"1671",75.4646403360323,75
"1672",76.7967990695051,75
"1673",72.2937957397292,75
"1674",73.3768279829544,75
"1675",70.3995402995778,75
"1676",75.4644083658252,75
"1678",71.1703607874426,75
"1679",73.1206890210058,75
"1680",75.4415640628,75
"1682",73.7821806892754,75
"1683",74.8200225455729,75
"1684",73.1662327550189,75
"1686",70.2378705056529,75
"1688",73.9278701027743,75
"1689",67.8138881458081,75
"1690",70.2347446369607,75
"1694",71.9043168224166,75
"1695",72.1496318425786,75
"1696",74.5411044054009,75
"1699",75.154521438098,75
"1702",71.6419713661766,75
"1703",75.9223921982582,75
"1707",72.6739077849041,75
"1709",72.8681814300523,75
"1710",72.1211262649988,75
"1713",71.4120358058759,75
"1715",75.4651435913262,75
"1716",72.6192763223429,75
"1718",70.4505237983643,75
"1719",72.3451685131143,75
"1720",72.9802498266086,75
"1721",72.9046178181085,75
"1723",75.6314248102493,75
"1724",74.3167145053359,75
"1725",72.3571048719562,75
"1728",72.2585137099992,75
"1729",70.0061750570909,75
"1730",71.0905693109522,75
"1731",74.4833921313849,75
"1734",75.2024892895767,75
"1737",72.037355849504,75
"1738",72.4129940490906,75
"1739",74.4282793648124,75
"1740",75.1348494658909,75
"1742",71.5165071769946,75
"1743",72.9786169910061,75
